Year,Month,MonthDate,Route,Flights,Seat_Capacity,Seats_Occupied,Load_Factor
2022,2022-01,2022-01-01,110 KHI-DXB,17.0,3335.0,2678.0,0.803
2022,2022-01,2022-01-01,111 DXB-KHI,17.0,3335.0,810.0,0.2429
2022,2022-01,2022-01-01,112 KHI-SHJ,10.0,1910.0,1544.0,0.8084
2022,2022-01,2022-01-01,113 SHJ-KHI,10.0,1910.0,345.0,0.1806
2022,2022-01,2022-01-01,1704 KHI-JED,5.0,900.0,856.0,0.9511
2022,2022-01,2022-01-01,1705 JED-KHI,5.0,900.0,168.0,0.1867
2022,2022-01,2022-01-01,200 KHI-ISB,31.0,5690.0,4762.0,0.8369
2022,2022-01,2022-01-01,201 ISB-KHI,23.0,5182.0,3811.0,0.7354
2022,2022-01,2022-01-01,204 KHI-ISB,23.0,5142.0,4510.0,0.8771
2022,2022-01,2022-01-01,205 ISB-KHI,30.0,5510.0,4939.0,0.8964
2022,2022-01,2022-01-01,207 ISB-KHI,29.0,6469.0,5809.0,0.898
2022,2022-01,2022-01-01,208 KHI-ISB,28.0,6289.0,4938.0,0.7852
2022,2022-01,2022-01-01,210 ISB-DXB,13.0,2772.0,2422.0,0.8737
2022,2022-01,2022-01-01,211 DXB-ISB,13.0,2772.0,1843.0,0.6649
2022,2022-01,2022-01-01,212 ISB-SHJ,13.0,2875.0,2557.0,0.8894
2022,2022-01,2022-01-01,213 SHJ-ISB,14.0,3095.0,1911.0,0.6174
2022,2022-01,2022-01-01,216 ISB-DXB,18.0,3871.0,3431.0,0.8863
2022,2022-01,2022-01-01,217 DXB-ISB,18.0,3871.0,2406.0,0.6215
2022,2022-01,2022-01-01,230 ISB-AUH,18.0,3973.0,3296.0,0.8296
2022,2022-01,2022-01-01,231 AUH-ISB,18.0,3973.0,2105.0,0.5298
2022,2022-01,2022-01-01,260 ISB-RKT,4.0,910.0,838.0,0.9209
2022,2022-01,2022-01-01,261 RKT-ISB,4.0,910.0,85.0,0.0934
2022,2022-01,2022-01-01,2700 ISB-JED,4.0,910.0,878.0,0.9648
2022,2022-01,2022-01-01,2711 JED-ISB,4.0,910.0,412.0,0.4527
2022,2022-01,2022-01-01,2744 ISB-ISB,1.0,220.0,0.0,0.0
2022,2022-01,2022-01-01,2744 ISB-RUH,13.0,2980.0,2879.0,0.9661
2022,2022-01,2022-01-01,2746 ISB-RUH,4.0,925.0,887.0,0.9589
2022,2022-01,2022-01-01,2755 RUH-ISB,18.0,4125.0,3536.0,0.8572
2022,2022-01,2022-01-01,401 LHE-KHI,30.0,5440.0,4733.0,0.87
2022,2022-01,2022-01-01,402 KHI-LHE,30.0,5400.0,4818.0,0.8922
2022,2022-01,2022-01-01,405 LHE-KHI,29.0,5260.0,4686.0,0.8909
2022,2022-01,2022-01-01,406 KHI-LHE,28.0,5080.0,4258.0,0.8382
2022,2022-01,2022-01-01,410 LHE-DXB,31.0,6580.0,5712.0,0.8681
2022,2022-01,2022-01-01,411 DXB-LHE,31.0,6580.0,5030.0,0.7644
2022,2022-01,2022-01-01,412 LHE-SHJ,26.0,4920.0,4257.0,0.8652
2022,2022-01,2022-01-01,413 SHJ-LHE,26.0,4920.0,3234.0,0.6573
2022,2022-01,2022-01-01,430 LHE-AUH,17.0,3500.0,3023.0,0.8637
2022,2022-01,2022-01-01,431 AUH-LHE,17.0,3500.0,2213.0,0.6323
2022,2022-01,2022-01-01,460 LHE-RKT,4.0,800.0,742.0,0.9275
2022,2022-01,2022-01-01,461 RKT-LHE,4.0,800.0,73.0,0.0913
2022,2022-01,2022-01-01,4722 LHE-JED,5.0,1100.0,989.0,0.8991
2022,2022-01,2022-01-01,4733 JED-LHE,5.0,1100.0,468.0,0.4255
2022,2022-01,2022-01-01,502 KHI-UET,1.0,180.0,85.0,0.4722
2022,2022-01,2022-01-01,503 UET-KHI,1.0,180.0,152.0,0.8444
2022,2022-01,2022-01-01,602 KHI-PEW,9.0,1810.0,1188.0,0.6564
2022,2022-01,2022-01-01,603 PEW-KHI,9.0,1810.0,1530.0,0.8453
2022,2022-01,2022-01-01,610 PEW-DXB,18.0,3871.0,3419.0,0.8832
2022,2022-01,2022-01-01,611 DXB-PEW,18.0,3871.0,1176.0,0.3038
2022,2022-01,2022-01-01,612 PEW-SHJ,13.0,2875.0,2641.0,0.9186
2022,2022-01,2022-01-01,613 SHJ-PEW,13.0,2875.0,763.0,0.2654
2022,2022-01,2022-01-01,630 PEW-AUH,18.0,3973.0,3470.0,0.8734
2022,2022-01,2022-01-01,631 AUH-PEW,18.0,3973.0,2283.0,0.5746
2022,2022-01,2022-01-01,810 MUX-DXB,13.0,2772.0,2447.0,0.8828
2022,2022-01,2022-01-01,811 DXB-MUX,13.0,2772.0,1564.0,0.5642
2022,2022-01,2022-01-01,812 MUX-SHJ,18.0,3240.0,2913.0,0.8991
2022,2022-01,2022-01-01,813 SHJ-MUX,18.0,3240.0,1497.0,0.462
2022,2022-01,2022-01-01,8700 MUX-JED,3.0,660.0,584.0,0.8848
2022,2022-01,2022-01-01,8711 JED-MUX,3.0,660.0,330.0,0.5
2022,2022-01,2022-01-01,TOTALS,874.0,179406.0,134934.0,0.7521
2022,2022-02,2022-02-01,110 KHI-DXB,15.0,2865.0,2341.0,0.8171
2022,2022-02,2022-02-01,111 DXB-KHI,15.0,2865.0,1955.0,0.6824
2022,2022-02,2022-02-01,1704 KHI-JED,4.0,775.0,708.0,0.9135
2022,2022-02,2022-02-01,1705 JED-KHI,4.0,775.0,307.0,0.3961
2022,2022-02,2022-02-01,200 KHI-ISB,28.0,5324.0,5156.0,0.9684
2022,2022-02,2022-02-01,204 KHI-ISB,1.0,220.0,62.0,0.2818
2022,2022-02,2022-02-01,205 ISB-KHI,28.0,5507.0,4939.0,0.8969
2022,2022-02,2022-02-01,207 ISB-KHI,27.0,5854.0,5026.0,0.8586
2022,2022-02,2022-02-01,208 KHI-ISB,26.0,5785.0,5177.0,0.8949
2022,2022-02,2022-02-01,210 ISB-DXB,12.0,2592.0,2379.0,0.9178
2022,2022-02,2022-02-01,211 DXB-ISB,12.0,2592.0,2207.0,0.8515
2022,2022-02,2022-02-01,212 ISB-SHJ,12.0,2676.0,2372.0,0.8864
2022,2022-02,2022-02-01,213 SHJ-ISB,12.0,2661.0,2226.0,0.8365
2022,2022-02,2022-02-01,216 ISB-DXB,16.0,3464.0,3245.0,0.9368
2022,2022-02,2022-02-01,217 DXB-ISB,16.0,3464.0,2975.0,0.8588
2022,2022-02,2022-02-01,230 ISB-AUH,16.0,3526.0,3046.0,0.8639
2022,2022-02,2022-02-01,231 AUH-ISB,16.0,3541.0,2857.0,0.8068
2022,2022-02,2022-02-01,2700 ISB-JED,4.0,940.0,818.0,0.8702
2022,2022-02,2022-02-01,2711 JED-ISB,4.0,940.0,802.0,0.8532
2022,2022-02,2022-02-01,2744 ISB-RUH,12.0,2760.0,2675.0,0.9692
2022,2022-02,2022-02-01,2746 ISB-RUH,6.0,1410.0,1371.0,0.9723
2022,2022-02,2022-02-01,2755 RUH-ISB,16.0,3700.0,3451.0,0.9327
2022,2022-02,2022-02-01,2757 RUH-ISB,2.0,470.0,408.0,0.8681
2022,2022-02,2022-02-01,401 LHE-KHI,27.0,4900.0,4598.0,0.9384
2022,2022-02,2022-02-01,4011 LHE-KHI,1.0,235.0,136.0,0.5787
2022,2022-02,2022-02-01,402 KHI-LHE,27.0,4955.0,4760.0,0.9606
2022,2022-02,2022-02-01,4022 KHI-LHE,1.0,235.0,178.0,0.7574
2022,2022-02,2022-02-01,405 LHE-KHI,26.0,4735.0,4265.0,0.9007
2022,2022-02,2022-02-01,406 KHI-LHE,26.0,4680.0,4464.0,0.9538
2022,2022-02,2022-02-01,410 LHE-DXB,28.0,5992.0,5449.0,0.9094
2022,2022-02,2022-02-01,411 DXB-LHE,28.0,5992.0,5110.0,0.8528
2022,2022-02,2022-02-01,412 LHE-SHJ,24.0,4640.0,4148.0,0.894
2022,2022-02,2022-02-01,413 SHJ-LHE,24.0,4640.0,4033.0,0.8692
2022,2022-02,2022-02-01,430 LHE-AUH,16.0,3200.0,2837.0,0.8866
2022,2022-02,2022-02-01,431 AUH-LHE,16.0,3200.0,2612.0,0.8163
2022,2022-02,2022-02-01,4722 LHE-JED,4.0,880.0,807.0,0.917
2022,2022-02,2022-02-01,4733 JED-LHE,4.0,880.0,846.0,0.9614
2022,2022-02,2022-02-01,602 KHI-PEW,8.0,1440.0,1371.0,0.9521
2022,2022-02,2022-02-01,603 PEW-KHI,8.0,1440.0,1166.0,0.8097
2022,2022-02,2022-02-01,610 PEW-DXB,16.0,3464.0,3173.0,0.916
2022,2022-02,2022-02-01,611 DXB-PEW,16.0,3464.0,2144.0,0.6189
2022,2022-02,2022-02-01,612 PEW-SHJ,12.0,2676.0,2408.0,0.8999
2022,2022-02,2022-02-01,613 SHJ-PEW,12.0,2676.0,1256.0,0.4694
2022,2022-02,2022-02-01,630 PEW-AUH,16.0,3533.0,3059.0,0.8658
2022,2022-02,2022-02-01,631 AUH-PEW,16.0,3518.0,2707.0,0.7695
2022,2022-02,2022-02-01,810 MUX-DXB,12.0,2592.0,2338.0,0.902
2022,2022-02,2022-02-01,811 DXB-MUX,12.0,2592.0,1844.0,0.7114
2022,2022-02,2022-02-01,812 MUX-SHJ,16.0,2880.0,2577.0,0.8948
2022,2022-02,2022-02-01,813 SHJ-MUX,16.0,2880.0,1762.0,0.6118
2022,2022-02,2022-02-01,8700 MUX-JED,4.0,880.0,802.0,0.9114
2022,2022-02,2022-02-01,8711 JED-MUX,4.0,880.0,836.0,0.95
2022,2022-02,2022-02-01,TOTALS,724.0,148785.0,128189.0,0.8616
2022,2022-03,2022-03-01,110 KHI-DXB,17.0,3060.0,2937.0,0.9598
2022,2022-03,2022-03-01,111 DXB-KHI,17.0,3060.0,2768.0,0.9046
2022,2022-03,2022-03-01,1700 KHI-JED,1.0,180.0,180.0,1.0
2022,2022-03,2022-03-01,1704 KHI-JED,3.0,540.0,503.0,0.9315
2022,2022-03,2022-03-01,1705 JED-KHI,3.0,540.0,282.0,0.5222
2022,2022-03,2022-03-01,1711 JED-KHI,1.0,180.0,103.0,0.5722
2022,2022-03,2022-03-01,200 KHI-ISB,31.0,5635.0,5403.0,0.9588
2022,2022-03,2022-03-01,205 ISB-KHI,31.0,5620.0,5403.0,0.9614
2022,2022-03,2022-03-01,207 ISB-KHI,31.0,6544.0,6095.0,0.9314
2022,2022-03,2022-03-01,208 KHI-ISB,31.0,6544.0,6320.0,0.9658
2022,2022-03,2022-03-01,210 ISB-DXB,13.0,2897.0,2747.0,0.9482
2022,2022-03,2022-03-01,211 DXB-ISB,13.0,2897.0,2734.0,0.9437
2022,2022-03,2022-03-01,212 ISB-SHJ,13.0,2987.0,2848.0,0.9535
2022,2022-03,2022-03-01,213 SHJ-ISB,13.0,2987.0,2537.0,0.8493
2022,2022-03,2022-03-01,216 ISB-DXB,18.0,3997.0,3861.0,0.966
2022,2022-03,2022-03-01,217 DXB-ISB,18.0,3997.0,3622.0,0.9062
2022,2022-03,2022-03-01,230 ISB-AUH,16.0,3542.0,3280.0,0.926
2022,2022-03,2022-03-01,230 ISB-DXB,2.0,455.0,444.0,0.9758
2022,2022-03,2022-03-01,231 AUH-ISB,16.0,3542.0,3346.0,0.9447
2022,2022-03,2022-03-01,231 DXB-ISB,2.0,455.0,354.0,0.778
2022,2022-03,2022-03-01,2700 ISB-JED,6.0,1410.0,1381.0,0.9794
2022,2022-03,2022-03-01,2711 JED-ISB,6.0,1410.0,1246.0,0.8837
2022,2022-03,2022-03-01,2744 ISB-RUH,13.0,3040.0,3002.0,0.9875
2022,2022-03,2022-03-01,2746 ISB-RUH,5.0,1175.0,1155.0,0.983
2022,2022-03,2022-03-01,2747 RUH-ISB,1.0,235.0,227.0,0.966
2022,2022-03,2022-03-01,2755 RUH-ISB,17.0,3980.0,3872.0,0.9729
2022,2022-03,2022-03-01,401 LHE-KHI,31.0,5700.0,5532.0,0.9705
2022,2022-03,2022-03-01,402 KHI-LHE,31.0,5700.0,5462.0,0.9582
2022,2022-03,2022-03-01,405 LHE-KHI,29.0,5300.0,5012.0,0.9457
2022,2022-03,2022-03-01,406 KHI-LHE,29.0,5340.0,5014.0,0.939
2022,2022-03,2022-03-01,410 LHE-DXB,31.0,6580.0,6389.0,0.971
2022,2022-03,2022-03-01,411 DXB-LHE,31.0,6580.0,6042.0,0.9182
2022,2022-03,2022-03-01,412 LHE-SHJ,27.0,5380.0,5137.0,0.9548
2022,2022-03,2022-03-01,413 SHJ-LHE,27.0,5380.0,4452.0,0.8275
2022,2022-03,2022-03-01,430 LHE-AUH,17.0,3300.0,3118.0,0.9448
2022,2022-03,2022-03-01,431 AUH-LHE,17.0,3300.0,3037.0,0.9203
2022,2022-03,2022-03-01,4722 LHE-JED,7.0,1540.0,1505.0,0.9773
2022,2022-03,2022-03-01,4733 JED-LHE,7.0,1540.0,867.0,0.563
2022,2022-03,2022-03-01,4744 LHE-RUH,3.0,660.0,635.0,0.9621
2022,2022-03,2022-03-01,4755 RUH-LHE,3.0,660.0,373.0,0.5652
2022,2022-03,2022-03-01,602 KHI-PEW,9.0,1660.0,1583.0,0.9536
2022,2022-03,2022-03-01,603 PEW-KHI,9.0,1660.0,1553.0,0.9355
2022,2022-03,2022-03-01,610 PEW-DXB,18.0,3997.0,3832.0,0.9587
2022,2022-03,2022-03-01,611 DXB-PEW,18.0,3997.0,3294.0,0.8241
2022,2022-03,2022-03-01,612 PEW-SHJ,13.0,2987.0,2855.0,0.9558
2022,2022-03,2022-03-01,613 SHJ-PEW,13.0,2987.0,2186.0,0.7318
2022,2022-03,2022-03-01,630 PEW-AUH,16.0,3542.0,3325.0,0.9387
2022,2022-03,2022-03-01,630 PEW-DXB,2.0,455.0,439.0,0.9648
2022,2022-03,2022-03-01,631 AUH-PEW,16.0,3542.0,3253.0,0.9184
2022,2022-03,2022-03-01,631 DXB-PEW,2.0,455.0,404.0,0.8879
2022,2022-03,2022-03-01,6700 PEW-JED,1.0,180.0,180.0,1.0
2022,2022-03,2022-03-01,6711 JED-PEW,1.0,180.0,101.0,0.5611
2022,2022-03,2022-03-01,810 MUX-DXB,13.0,2897.0,2772.0,0.9569
2022,2022-03,2022-03-01,811 DXB-MUX,13.0,2897.0,2360.0,0.8146
2022,2022-03,2022-03-01,812 MUX-SHJ,17.0,3180.0,3061.0,0.9626
2022,2022-03,2022-03-01,813 SHJ-MUX,17.0,3180.0,2372.0,0.7459
2022,2022-03,2022-03-01,8700 MUX-JED,7.0,1540.0,1525.0,0.9903
2022,2022-03,2022-03-01,8711 JED-MUX,7.0,1540.0,1116.0,0.7247
2022,2022-03,2022-03-01,TOTALS,820.0,168745.0,155436.0,0.9211
2022,2022-04,2022-04-01,110 KHI-DXB,14.0,2520.0,2233.0,0.8861
2022,2022-04,2022-04-01,111 DXB-KHI,14.0,2520.0,2220.0,0.881
2022,2022-04,2022-04-01,1700 KHI-JED,12.0,2160.0,2126.0,0.9843
2022,2022-04,2022-04-01,1711 JED-KHI,12.0,2160.0,1542.0,0.7139
2022,2022-04,2022-04-01,200 KHI-ISB,30.0,5559.0,4486.0,0.807
2022,2022-04,2022-04-01,205 ISB-KHI,30.0,5519.0,3368.0,0.6103
2022,2022-04,2022-04-01,207 ISB-KHI,7.0,1468.0,862.0,0.5872
2022,2022-04,2022-04-01,208 KHI-ISB,7.0,1428.0,1111.0,0.778
2022,2022-04,2022-04-01,210 ISB-DXB,12.0,2790.0,2541.0,0.9108
2022,2022-04,2022-04-01,211 DXB-ISB,12.0,2790.0,2552.0,0.9147
2022,2022-04,2022-04-01,212 ISB-SHJ,12.0,2745.0,2276.0,0.8291
2022,2022-04,2022-04-01,213 SHJ-ISB,12.0,2745.0,2410.0,0.878
2022,2022-04,2022-04-01,216 ISB-DXB,11.0,2479.0,2092.0,0.8439
2022,2022-04,2022-04-01,217 DXB-ISB,11.0,2479.0,2185.0,0.8814
2022,2022-04,2022-04-01,230 ISB-AUH,15.0,3234.0,2493.0,0.7709
2022,2022-04,2022-04-01,231 AUH-ISB,15.0,3234.0,2809.0,0.8686
2022,2022-04,2022-04-01,2700 ISB-JED,16.0,3760.0,3684.0,0.9798
2022,2022-04,2022-04-01,2711 JED-ISB,16.0,3760.0,2342.0,0.6229
2022,2022-04,2022-04-01,2744 ISB-RUH,18.0,4170.0,4098.0,0.9827
2022,2022-04,2022-04-01,2755 RUH-ISB,17.0,3935.0,3738.0,0.9499
2022,2022-04,2022-04-01,401 LHE-KHI,29.0,5740.0,3796.0,0.6613
2022,2022-04,2022-04-01,402 KHI-LHE,29.0,5740.0,3644.0,0.6348
2022,2022-04,2022-04-01,405 LHE-KHI,9.0,1700.0,1027.0,0.6041
2022,2022-04,2022-04-01,406 KHI-LHE,9.0,1740.0,1252.0,0.7195
2022,2022-04,2022-04-01,410 LHE-DXB,25.0,5435.0,5207.0,0.958
2022,2022-04,2022-04-01,411 DXB-LHE,25.0,5435.0,4801.0,0.8833
2022,2022-04,2022-04-01,412 LHE-SHJ,19.0,4100.0,3625.0,0.8841
2022,2022-04,2022-04-01,413 SHJ-LHE,19.0,4100.0,3051.0,0.7441
2022,2022-04,2022-04-01,430 LHE-AUH,15.0,3035.0,2771.0,0.913
2022,2022-04,2022-04-01,431 AUH-LHE,15.0,3035.0,2389.0,0.7871
2022,2022-04,2022-04-01,4700 LHE-JED,3.0,660.0,657.0,0.9955
2022,2022-04,2022-04-01,4711 JED-LHE,3.0,660.0,501.0,0.7591
2022,2022-04,2022-04-01,4722 LHE-JED,12.0,2640.0,2610.0,0.9886
2022,2022-04,2022-04-01,4733 JED-LHE,12.0,2640.0,1964.0,0.7439
2022,2022-04,2022-04-01,4744 LHE-RUH,4.0,880.0,791.0,0.8989
2022,2022-04,2022-04-01,4755 RUH-LHE,4.0,880.0,623.0,0.708
2022,2022-04,2022-04-01,602 KHI-PEW,2.0,360.0,255.0,0.7083
2022,2022-04,2022-04-01,603 PEW-KHI,2.0,360.0,163.0,0.4528
2022,2022-04,2022-04-01,610 PEW-DXB,9.0,2047.0,1410.0,0.6888
2022,2022-04,2022-04-01,611 DXB-PEW,9.0,2047.0,1810.0,0.8842
2022,2022-04,2022-04-01,612 PEW-SHJ,9.0,2070.0,1446.0,0.6986
2022,2022-04,2022-04-01,613 SHJ-PEW,9.0,2070.0,1711.0,0.8266
2022,2022-04,2022-04-01,630 PEW-AUH,12.0,2590.0,1783.0,0.6884
2022,2022-04,2022-04-01,631 AUH-PEW,12.0,2590.0,2438.0,0.9413
2022,2022-04,2022-04-01,6700 PEW-JED,12.0,2160.0,2149.0,0.9949
2022,2022-04,2022-04-01,6711 JED-PEW,12.0,2160.0,1070.0,0.4954
2022,2022-04,2022-04-01,810 MUX-DXB,11.0,2570.0,2310.0,0.8988
2022,2022-04,2022-04-01,811 DXB-MUX,11.0,2570.0,2132.0,0.8296
2022,2022-04,2022-04-01,812 MUX-SHJ,13.0,2820.0,2474.0,0.8773
2022,2022-04,2022-04-01,813 SHJ-MUX,13.0,2820.0,1791.0,0.6351
2022,2022-04,2022-04-01,8700 MUX-JED,15.0,3300.0,3217.0,0.9748
2022,2022-04,2022-04-01,8711 JED-MUX,15.0,3300.0,2298.0,0.6964
2022,2022-04,2022-04-01,TOTALS,691.0,145709.0,118334.0,0.8121
2022,2022-05,2022-05-01,110 KHI-DXB,16.0,2920.0,2738.0,0.9377
2022,2022-05,2022-05-01,111 DXB-KHI,16.0,2920.0,2290.0,0.7842
2022,2022-05,2022-05-01,1700 KHI-JED,10.0,1800.0,1762.0,0.9789
2022,2022-05,2022-05-01,1711 JED-KHI,10.0,1800.0,1777.0,0.9872
2022,2022-05,2022-05-01,200 KHI-ISB,28.0,5040.0,4725.0,0.9375
2022,2022-05,2022-05-01,205 ISB-KHI,28.0,5040.0,4304.0,0.854
2022,2022-05,2022-05-01,207 ISB-KHI,31.0,6787.0,5482.0,0.8077
2022,2022-05,2022-05-01,208 KHI-ISB,31.0,6787.0,5497.0,0.8099
2022,2022-05,2022-05-01,210 ISB-DXB,16.0,3595.0,3412.0,0.9491
2022,2022-05,2022-05-01,211 DXB-ISB,16.0,3595.0,3014.0,0.8384
2022,2022-05,2022-05-01,212 ISB-SHJ,13.0,2995.0,2873.0,0.9593
2022,2022-05,2022-05-01,213 SHJ-ISB,12.0,2775.0,2124.0,0.7654
2022,2022-05,2022-05-01,216 ISB-DXB,13.0,2972.0,2770.0,0.932
2022,2022-05,2022-05-01,217 DXB-ISB,13.0,2972.0,2340.0,0.7873
2022,2022-05,2022-05-01,230 ISB-AUH,18.0,3948.0,3526.0,0.8931
2022,2022-05,2022-05-01,231 AUH-ISB,18.0,3948.0,2674.0,0.6773
2022,2022-05,2022-05-01,2700 ISB-JED,13.0,3055.0,2972.0,0.9728
2022,2022-05,2022-05-01,2711 JED-ISB,13.0,3055.0,2942.0,0.963
2022,2022-05,2022-05-01,2744 ISB-RUH,17.0,3980.0,3865.0,0.9711
2022,2022-05,2022-05-01,2755 RUH-ISB,18.0,4215.0,3186.0,0.7559
2022,2022-05,2022-05-01,401 LHE-KHI,28.0,5320.0,4764.0,0.8955
2022,2022-05,2022-05-01,402 KHI-LHE,28.0,5280.0,4046.0,0.7663
2022,2022-05,2022-05-01,405 LHE-KHI,30.0,5560.0,4369.0,0.7858
2022,2022-05,2022-05-01,406 KHI-LHE,29.0,5380.0,4352.0,0.8089
2022,2022-05,2022-05-01,410 LHE-DXB,26.0,5720.0,5543.0,0.9691
2022,2022-05,2022-05-01,410 LHE-LHE,1.0,220.0,0.0,0.0
2022,2022-05,2022-05-01,411 DXB-LHE,26.0,5720.0,4837.0,0.8456
2022,2022-05,2022-05-01,412 LHE-SHJ,28.0,6120.0,5894.0,0.9631
2022,2022-05,2022-05-01,413 SHJ-LHE,28.0,6120.0,3821.0,0.6243
2022,2022-05,2022-05-01,430 LHE-AUH,17.0,3540.0,3363.0,0.95
2022,2022-05,2022-05-01,431 AUH-LHE,17.0,3540.0,2523.0,0.7127
2022,2022-05,2022-05-01,4700 LHE-JED,3.0,660.0,630.0,0.9545
2022,2022-05,2022-05-01,4711 JED-LHE,3.0,660.0,653.0,0.9894
2022,2022-05,2022-05-01,4722 LHE-JED,11.0,2420.0,2320.0,0.9587
2022,2022-05,2022-05-01,4733 JED-LHE,11.0,2420.0,2362.0,0.976
2022,2022-05,2022-05-01,4744 LHE-RUH,5.0,1100.0,1077.0,0.9791
2022,2022-05,2022-05-01,4755 RUH-LHE,5.0,1100.0,440.0,0.4
2022,2022-05,2022-05-01,602 KHI-PEW,9.0,1620.0,1507.0,0.9302
2022,2022-05,2022-05-01,603 PEW-KHI,9.0,1620.0,1354.0,0.8358
2022,2022-05,2022-05-01,610 PEW-DXB,12.0,2737.0,2463.0,0.8999
2022,2022-05,2022-05-01,611 DXB-PEW,12.0,2737.0,1667.0,0.6091
2022,2022-05,2022-05-01,612 PEW-SHJ,12.0,2775.0,2546.0,0.9175
2022,2022-05,2022-05-01,613 SHJ-PEW,12.0,2775.0,1363.0,0.4912
2022,2022-05,2022-05-01,630 PEW-AUH,18.0,3948.0,3508.0,0.8886
2022,2022-05,2022-05-01,631 AUH-PEW,18.0,3948.0,2992.0,0.7579
2022,2022-05,2022-05-01,6700 PEW-JED,10.0,1840.0,1699.0,0.9234
2022,2022-05,2022-05-01,6711 JED-PEW,10.0,1840.0,1576.0,0.8565
2022,2022-05,2022-05-01,810 MUX-DXB,10.0,2275.0,2095.0,0.9209
2022,2022-05,2022-05-01,811 DXB-MUX,10.0,2275.0,1904.0,0.8369
2022,2022-05,2022-05-01,812 MUX-SHJ,17.0,3700.0,3552.0,0.96
2022,2022-05,2022-05-01,813 SHJ-MUX,17.0,3700.0,2131.0,0.5759
2022,2022-05,2022-05-01,8700 MUX-JED,14.0,3080.0,3058.0,0.9929
2022,2022-05,2022-05-01,8711 JED-MUX,14.0,3080.0,3013.0,0.9782
2022,2022-05,2022-05-01,TOTALS,850.0,179029.0,151695.0,0.8473
2022,2022-06,2022-06-01,110 KHI-DXB,15.0,2892.0,2756.0,0.953
2022,2022-06,2022-06-01,111 DXB-KHI,15.0,2892.0,2728.0,0.9433
2022,2022-06,2022-06-01,170 KHI-JED,5.0,900.0,887.0,0.9856
2022,2022-06,2022-06-01,171 JED-KHI,6.0,1080.0,714.0,0.6611
2022,2022-06,2022-06-01,172 KHI-JED,1.0,235.0,234.0,0.9957
2022,2022-06,2022-06-01,173 JED-KHI,1.0,180.0,55.0,0.3056
2022,2022-06,2022-06-01,174 KHI-JED,1.0,180.0,149.0,0.8278
2022,2022-06,2022-06-01,176 KHI-MED,3.0,540.0,531.0,0.9833
2022,2022-06,2022-06-01,177 MED-KHI,3.0,540.0,169.0,0.313
2022,2022-06,2022-06-01,200 KHI-ISB,30.0,5816.0,5584.0,0.9601
2022,2022-06,2022-06-01,204 KHI-ISB,1.0,180.0,145.0,0.8056
2022,2022-06,2022-06-01,205 ISB-KHI,30.0,5816.0,4870.0,0.8373
2022,2022-06,2022-06-01,207 ISB-KHI,30.0,6086.0,5742.0,0.9435
2022,2022-06,2022-06-01,208 KHI-ISB,30.0,6071.0,5419.0,0.8926
2022,2022-06,2022-06-01,210 ISB-DXB,16.0,3595.0,3436.0,0.9558
2022,2022-06,2022-06-01,211 DXB-ISB,16.0,3595.0,3416.0,0.9502
2022,2022-06,2022-06-01,212 ISB-SHJ,12.0,2707.0,2574.0,0.9509
2022,2022-06,2022-06-01,213 SHJ-ISB,13.0,2927.0,2714.0,0.9272
2022,2022-06,2022-06-01,216 ISB-DXB,13.0,2890.0,2760.0,0.955
2022,2022-06,2022-06-01,217 DXB-ISB,13.0,2890.0,2517.0,0.8709
2022,2022-06,2022-06-01,230 ISB-AUH,17.0,3755.0,3626.0,0.9656
2022,2022-06,2022-06-01,231 AUH-ISB,17.0,3755.0,3355.0,0.8935
2022,2022-06,2022-06-01,270 ISB-JED,2.0,470.0,435.0,0.9255
2022,2022-06,2022-06-01,271 JED-ISB,2.0,470.0,431.0,0.917
2022,2022-06,2022-06-01,272 ISB-JED,2.0,415.0,413.0,0.9952
2022,2022-06,2022-06-01,273 JED-ISB,1.0,235.0,232.0,0.9872
2022,2022-06,2022-06-01,274 ISB-RUH,17.0,3965.0,3894.0,0.9821
2022,2022-06,2022-06-01,275 RUH-ISB,17.0,3965.0,3819.0,0.9632
2022,2022-06,2022-06-01,276 ISB-MED,4.0,940.0,873.0,0.9287
2022,2022-06,2022-06-01,277 MED-ISB,4.0,940.0,112.0,0.1191
2022,2022-06,2022-06-01,401 LHE-KHI,30.0,6375.0,5283.0,0.8287
2022,2022-06,2022-06-01,402 KHI-LHE,29.0,6195.0,5068.0,0.8181
2022,2022-06,2022-06-01,404 KHI-LHE,1.0,220.0,35.0,0.1591
2022,2022-06,2022-06-01,405 LHE-KHI,29.0,6200.0,5467.0,0.8818
2022,2022-06,2022-06-01,406 KHI-LHE,28.0,5980.0,5028.0,0.8408
2022,2022-06,2022-06-01,410 LHE-DXB,25.0,5665.0,5466.0,0.9649
2022,2022-06,2022-06-01,411 DXB-LHE,25.0,5665.0,5233.0,0.9237
2022,2022-06,2022-06-01,412 LHE-SHJ,24.0,5385.0,5060.0,0.9396
2022,2022-06,2022-06-01,413 SHJ-LHE,24.0,5385.0,4802.0,0.8917
2022,2022-06,2022-06-01,430 LHE-AUH,17.0,3785.0,3621.0,0.9567
2022,2022-06,2022-06-01,431 AUH-LHE,17.0,3785.0,3154.0,0.8333
2022,2022-06,2022-06-01,472 LHE-JED,4.0,910.0,780.0,0.8571
2022,2022-06,2022-06-01,473 JED-LHE,5.0,1145.0,1071.0,0.9354
